Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12625,2022-05-16,0.049585174,0.0488108609,0.0528173817,21,100
Market-Adjusted Model,12628,2022-05-16,0.0263575536,0.0313072139,0.0295897613,21,100
Market-Adjusted Model,12629,2022-05-16,0.0661563119,0.0798846855,0.0693885197,21,100
Market-Adjusted Model,12631,2022-05-16,-0.019860722,-0.020933208,-0.016628514,21,100
Market-Adjusted Model,12633,2022-05-16,-0.020700605,-0.021385515,-0.017468397,21,100
Market-Adjusted Model,12640,2022-05-16,0.3394495359,0.3621563747,0.3426817437,21,100
Market-Adjusted Model,12641,2022-05-16,-0.066285956,-0.054016151,-0.063053748,21,100
Market-Adjusted Model,12644,2022-05-16,-0.117328048,-0.109478272,-0.11409584,21,100
Market-Adjusted Model,12646,2022-05-16,0.0134634339,0.0177938612,0.0166956417,21,100
Market-Adjusted Model,12647,2022-05-16,0.0306093837,0.0319452916,0.0338415915,21,100
Market-Adjusted Model,12648,2022-05-16,0.1097395,0.1073708945,0.1129717078,21,100
Market-Adjusted Model,12649,2022-05-16,0.0688258591,0.0714502017,0.0720580669,21,100
Market-Adjusted Model,12651,2022-05-16,0.0397653383,0.0418060644,0.042997546,21,100
Market-Adjusted Model,12652,2022-05-16,0.0266457336,0.0272216906,0.0298779414,21,100
Market-Adjusted Model,12654,2022-05-16,0.0313082406,0.0323822064,0.0345404484,21,100
Market-Adjusted Model,12655,2022-05-16,0.0154812048,0.0169757973,0.0187134125,21,100
Market-Adjusted Model,12656,2022-05-16,0.0053798186,0.0107093902,0.0086120264,21,100
